accountsservice 23.13.9-2
adobe-source-han-sans-cn-fonts 2.004-2
adobe-source-han-sans-jp-fonts 2.004-2
adobe-source-han-sans-kr-fonts 2.004-2
alacritty 0.15.1-1.1
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-4.1
alsa-utils 1.2.14-1.1
amd-ucode 20250408.c1a774f3-1
ark 25.04.0-1.1
awesome-terminal-fonts 1.1.0-5
base 3-2
base-devel 1-2
bash-completion 2.16.0-1
bind 9.20.8-2.1
bluedevil 1:6.3.4-1.1
bluez 5.82-1.1
bluez-hid2hci 5.82-1.1
bluez-libs 5.82-1.1
bluez-utils 5.82-1.1
breeze-gtk 6.3.4-1
bridge-utils 1.7.1-2.1
btop 1.4.2-1.1
btrfs-assistant 2.1.1-1
btrfs-progs 6.14-1
bun-bin 1.2.12-1
cachy-browser 137.0.2-2
cachyos-emerald-kde-theme-git r25.d61d1dd-1
cachyos-fish-config 15-1
cachyos-gaming-meta 1:1.0.0-2
cachyos-hello 0.16.4-1
cachyos-hooks 2025.04.26-1
cachyos-iridescent-kde r2.16aa352-1
cachyos-kde-settings 4.8-1
cachyos-kdump-tools 1.0.5-1
cachyos-kernel-manager 1.14.2-1
cachyos-keyring 20240331-1
cachyos-micro-settings 1.0.0-1
cachyos-mirrorlist 22-1
cachyos-nord-kde-theme-git r16.d75759c-1
cachyos-packageinstaller 1.4.0-1
cachyos-plymouth-theme 1-1
cachyos-rate-mirrors 8-1
cachyos-settings 1:1.2.4-1
cachyos-themes-sddm 1.0-3
cachyos-v3-mirrorlist 22-1
cachyos-v4-mirrorlist 22-1
cachyos-wallpapers r16.42d1466-1
cachyos-zsh-config 1.0.2-1
cameractrls 0.6.7-2
char-white r3.ef1c007-1
chwd 1.12.4-1
cpupower 6.14-2
crash 8.0.6-1.1
cryptsetup 2.7.5-2.1
cups 2:2.4.12-1.1
cups-filters 2.0.1-2.1
cups-pdf 3.0.2-1.1
dbeaver 25.0.3-1.1
device-mapper 2.03.31-1.1
dhclient 4.4.3.P1-4.1
diffutils 3.12-2
discord 1:0.0.93-1
dkms 3.1.8-2
dmidecode 3.6-1.3
dmraid 1.0.0.rc16.3-15.1
dnsmasq 2.91-1.1
dolphin 25.04.0-2.1
dosfstools 4.2-5.1
duf 0.8.1-3.1
e2fsprogs 1.47.2-2.1
efibootmgr 18-3.1
efitools 1.9.2-5
egl-wayland 4:1.1.19-1.1
ethtool 1:6.11-1.1
exfatprogs 1.2.8-1.1
f2fs-tools 1.16.0-3.1
ffmpegthumbnailer 2.2.3-3.1
ffmpegthumbs 25.04.0-1.1
firefox 138.0.1-1
flameshot 12.1.0-6.1
flatpak 1:1.16.0-3.1
foomatic-db 3:20240209-1
foomatic-db-engine 5:20200131-2.1
foomatic-db-gutenprint-ppds 5.3.5-1.1
foomatic-db-nonfree 3:20240209-1
foomatic-db-nonfree-ppds 3:20240209-1
foomatic-db-ppds 3:20240209-1
fsarchiver 0.8.8-1.1
fwupd 2.0.8-1.1
ghostscript 10.05.1-1.1
gimp 3.0.2-2.1
git 2.49.0-1.1
glances 4.3.1-1
grub 2:2.12.r283.ga4da71da-1.1
grub-btrfs 4.13-2
grub-hook 2.1-1
gsfonts 20200910-4
gst-libav 1.26.1-1
gst-plugin-pipewire 1:1.4.2-1.1
gst-plugins-bad 1.26.1-1
gst-plugins-ugly 1.26.1-1
gutenprint 5.3.5-1.1
gwenview 25.04.0-1.1
haveged 1.9.19-1.1
hdparm 9.65-2.1
hplip 1:3.25.2-1.1
htop 3.4.1-1.1
hwdetect 2025.03.06.1935-1
hwinfo 24.0-1.1
inetutils 2.6-1
inkscape 1.4.1-3.1
inotify-tools 4.23.9.0-2.1
iptables-nft 1:1.8.11-2.1
iwd 3.6-1.1
jfsutils 1.1.15-9.1
just 1.40.0-1.1
kate 25.04.0-1.1
kde-gtk-config 6.3.4-1.1
kdeconnect 25.04.0-1.1
kdegraphics-thumbnailers 25.04.0-1.1
kdeplasma-addons 6.3.4-1.1
kinfocenter 6.3.4-1.1
kinit 5.116.0-1.1
kitty 0.41.1-1.1
konsole 25.04.0-1.1
kscreen 6.3.4-1.1
kwallet-pam 6.3.4-1.1
kwalletmanager 25.04.0-1.1
lazygit 0.49.0-1.1
less 1:668-1.1
lib32-mesa 1:25.0.5-2
lib32-opencl-rusticl-mesa 1:25.0.5-2
lib32-vulkan-radeon 1:25.0.5-2
